<<<<<<<<<<<<<<<<<<<<<<<<
Xf$Name                Xe$Offset   Xe$Name                Xe$DataType   Xe$Size
X$Trigger                     36   Xt$Order                        14         2
X$Trigger                     38   Xt$Sequence                     14         2
X$Trigger                     40   Xt$Misc                         13      4054
X$User                         0   Xu$Id                           14         2
X$User                         2   Xu$Name                          0        30
X$User                        32   Xu$Password                      0         9
X$User                        41   Xu$Flags                        14         2
X$Variant                      0   Xvar$FileId                     14         2
X$Variant                      2   Xvar$Pdf                         0       255
X$View                         0   Xv$Name                          0        20
X$View                        20   Xv$Version                      14         1
X$View                        21   Xv$Id                           14         1
X$View                        22   Xv$Misc                         13      2000

390 rows were affected.

>>>>>>>>>>>>>>>>>>>>>>>>

<<<<<<<<<<<<<<<<<<<<<<<<
Xf$Name                Xi$Number   Xi$Part   Xi$Flags   Key Name               Xe$Name             
====================   =========   =======   ========   ====================   ====================
Ingred_Usage                   0         0        400   ByDateBatLotIngred     Date_Used           
Ingred_Usage                   0         1        400   ByDateBatLotIngred     Batch_No            
Ingred_Usage                   0         2        400   ByDateBatLotIngred     Lot_No              
Ingred_Usage                   0         3        384   ByDateBatLotIngred     Ingredient          
Ingredients                    0         0        386   ByIngredient           Ingredient          
LotCost                        0         0        400   ByIngredientLot        Ingredient          
LotCost                        0         1        384   ByIngredientLot        Lot_No              
LotIRef                        0         0        400   ByIngredientMID        Ingredient          
LotIRef                        0         1        384   ByIngredientMID        MachineID           
Mix_Total                      0         0        400   ByOrderMix             Order_No            
Mix_Total                      0         1        400   ByOrderMix             Order_No_Suffix     
Mix_Total                      0         2        384   ByOrderMix             Mix_No              
Order_Header                   0         0        402   ByDateOrder            Schedule_Date       
Order_Header                   0         1        402   ByDateOrder            Order_No            
Order_Header                   0         2        386   ByDateOrder            Order_No_Suffix     
Order_Header                   1         0        402   ByOrder                Order_No            
Order_Header                   1         1        386   ByOrder                Order_No_Suffix     
Order_Line                     0         0        402   ByOrderLine            Order_No            
Order_Line                     0         1        402   ByOrderLine            Order_No_Suffix     
Order_Line                     0         2        386   ByOrderLine            Line_No             
Order_Line                     1         0        384   ByFileRef              FileRef             
Prod_Header                    0         0        384   ByProd                 Product_Code        
Prod_Instructions              0         0        400   ByProdMethodLine       Product_Code        
Prod_Instructions              0         1        400   ByProdMethodLine       Product_Method      
Prod_Instructions              0         2        384   ByProdMethodLine       Method_Line_No      
Prod_Line                      0         0        402   ByProdLine             Product_Code        
Prod_Line                      0         1        386   ByProdLine             Line_No             
Prod_Schedule                  0         0        400   ByDateOrder            Schedule_Date       
Prod_Schedule                  0         1        384   ByDateOrder            Order_No            
Prod_Schedule                  1         0        384   ByOrder                Order_No            
Recipe_Header                  0         0        386   ByCode                 Recipe_Code         
Recipe_Header                  1         0        384   ByFileRef              FileRef             
Recipe_Line                    0         0        403   ByHeadRefLine          HeaderFileRef       
Recipe_Line                    0         1        387   ByHeadRefLine          Line_No             
Recipe_Line                    1         0        384   ByFileRef              FileRef             
REGISTRY                       0         0        402   PK_FolderName          FolderName          
REGISTRY                       0         1        386   PK_FolderName          TagName             
SOURCE_CODES                   0         0        386   UK_ID                  ID                  
SOURCE_CODES                   1         0        402   ByCodeType             Code                
SOURCE_CODES                   1         1        386   ByCodeType             Type                
StockTable                     0         0        386   ByProduct              Product             
Trans_Warnings                 0         0        273   ById                   MC_ID               
Trans_Warnings                 0         1        257   ById                   Serial_No           
Trans_Warnings                 1         0        259   BySrcconcess           SrcConcessionNo     
Transactions                   0         0        401   ByDateOrder            Trans_Date          
Transactions                   0         1        401   ByDateOrder            Order_No            
Transactions                   0         2        385   ByDateOrder            Order_No_Suffix     
Transactions                   1         0        400   ById                   MC_ID               
Transactions                   1         1        384   ById                   Serial_No           
Transactions                   2         0        401   ByOrderMixLine         Order_No            
Transactions                   2         1        401   ByOrderMixLine         Order_No_Suffix     
Transactions                   2         2        401   ByOrderMixLine         Mix_No              
Transactions                   2         3        385   ByOrderMixLine         Order_Line_No       
UserTable                      0         0        386   ByUser                 UserName            
